SiO2,TiO2,Al2O3,FeOt,MnO,MgO,CaO,Na2O,K2O,P2O5,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Sr,Y,Rb,Ba,Hf,Nb,Ta,Th,U,Pb,Zr,Sc,V,Ni,Cr,A,La/Y,Nb/Y,Ba/Sc,Nb/Yb,Sr/Y,(La/Yb)/n,Ce/Yb,Zr/Y,La/Sm,Dy/Yb,Sm/Yb,Zr/Sm,Rb/Sr,Nd/Yb,Lu/Hf,Ce/Y,Nd/Y,Th/Yb,Gd/Yb,Ba/V,A/CaO,Th/Y,Ni/Sc,Cr/Sc,Ni/V,Cr/V,Predicted_Crustal_Thickness,Age,Age error,Lat,Lon
52.96,1.34,15.26,8.6407,8.0858,5.94,0.13,4.19,2.9759,1.2284,190.5012,292,28.80073849,110,15,3.98,13.3,1.43,6.66,1.07,2.74,0.36,2.32,0.36,2341,29.07554521,120.5897326,3113.428757,5.2,30.8,1.2,4.9,1.2,20,420.4538053,19,189.1052797,65,136.8956519,7.1659,6.551939048,1.059309457,163.8646714,13.27586207,80.51439734,55.78112396,125.862069,14.46073676,12.70008,2.870689655,6.465517241,28.03025369,0.05151206,47.4137931,0.069230769,10.04280394,3.78324806,2.112068966,5.732758621,16.463997,55.12230769,0.168526504,3.421052632,7.205034311,0.343723878,0.723912374,49.07857109,213,5,38.7616,121.1284
47.62,1.8908,17.5102,10.34,7.24,5.33,0.17,3.7837,4.27,1.2163,127.7,245,24.8653851,79.95,11.62,3.250512246,8,1.078749165,4.362558174,0.69,2.145866657,0.34425706,1.976342186,0.278301272,2878,24.320594,106,4039,5.4,71,4.436851268,9.854395992,2.8,8.7,207,16.41729798,209.949154,50.85029808,43.27307735,8.0537,5.250694124,2.919336592,246.020996,35.92495293,118.3359255,43.89411391,123.9663869,8.511305275,10.98967298,2.207390099,5.879548634,17.8141136,0.036831133,40.45352094,0.051537273,10.07376711,3.287337472,4.986179044,4.04788202,19.23799131,47.37470588,0.405187307,3.097360975,2.635822131,0.24220292,0.206112178,32.04832643,129,5,38,116
58.2907,1.76,17.49,7.2919,4.828,3.0633,0.17,4,3.78,0.8024,103.5,196.1649284,21.66,78.99,10.23,2.897615872,8.86,1.056718406,4.876972064,0.82,2.39,0.3,1.863114081,0.29,1198,24.28578361,96.5123644,2294.066477,4.6,12,0.6,4.9,2.5,25.73501929,329.989591,13.69035597,137.9145853,26.32418848,47.30071113,7.78,4.261752541,0.494116237,167.5680663,6.440829428,49.32927095,37.73796103,105.288737,13.5877679,10.11730205,2.617645432,5.490807087,32.25704702,0.080561239,42.39675971,0.063043478,8.077356348,3.252520127,2.63000535,4.755479061,16.63396567,45.76470588,0.20176413,1.922827174,3.455038805,0.190873129,0.342971057,45.28155183,129,5,38,116
52.46,1.08,16.39,8.4016,8.1595,4.7593,0.11,1.6,3.68,0.4,35.9,74.22,9.11,36.01378013,6.18,2.04,4.550928207,0.599702019,2.928,0.505644037,1.268759707,0.17,1.060152629,0.17696277,1209.190743,13.17842985,33.15303646,715.165341,2.35,4.2,0.23,2.659581338,0.507839965,9.4,87.8,20.93982916,184,57.32550225,207.6155714,5.28,2.724148507,0.318702611,34.15335128,3.961693708,91.75529686,23.00401192,70.00878739,6.662402198,5.809061489,2.761866471,5.829349313,14.20711974,0.027417541,33.97037289,0.075303306,5.631930423,2.732782322,2.508677775,4.292710391,3.886768158,48,0.201813218,2.737629892,9.914864625,0.311551643,1.128345497,44.82102244,129,5,38,116
58.476,1.05,18.57,6.9383,5.76,3.37,0.16,1.05,4.3306,0.32,57.82,102.3945444,7.49,29.19188002,5.60239203,1.579371053,3.34,0.487336497,2.518041298,0.45175129,1.214633303,0.17,1.06,0.184593701,1018.95144,12.49821392,83,463,4.4,12.97752623,1.2,8.3,2.9,9.4,144,13.37584832,132,28.66961672,52.0775949,5.3806,4.62626103,1.038350465,34.61462697,12.24294927,81.52776441,37.05525038,96.59862679,11.52164629,10.32059158,2.375510658,5.2852755,25.70330659,0.081456286,27.53950945,0.041953114,8.192734182,2.335684139,7.830188679,3.150943396,3.507575758,33.62875,0.66409489,2.143386799,3.893405013,0.217194066,0.394527234,45.11745362,129,5,38,116
58.9311,0.79,18.16,6.227,6.28,3.4146,0.11,2.4591,4.231,0.39,40.19,75.5860305,8.67205279,29.19,4.79,1.47,4.228620506,0.6,3.02,0.5,1.406845233,0.2,1.300308169,0.2,896.0789864,12.42,60,847,3.421135094,8.6,0.490964045,4.1,0.988129912,13.21787305,144,12.44619283,109,26.9550528,44.51321032,6.6901,3.235909823,0.692431562,68.05293888,6.61381679,72.14806654,20.99661308,58.12932065,11.5942029,8.39039666,2.322526361,3.683742142,30.06263048,0.066958383,22.44852466,0.058460129,6.085831763,2.350241546,3.153098702,3.252014105,7.770642202,60.81909091,0.330112721,2.165726754,3.576451926,0.247294062,0.408378076,39.38619805,129,5,38,116
59.07,0.8924,16.58,6.56,5.41,3.6,0.1088,3.16,4.2925,0.3742,48.89,87.70923522,8.24,32.50642441,5.822958124,1.51,4.58,0.63,3.02,0.53,1.460038539,0.203295147,1.313455418,0.202153686,1293,12.14,74,1422,5.4,10.83084411,0.631001698,7.2,1.4,12,203.46268,13.33471848,133,33.62225083,85.09848636,7.4525,4.027182867,0.892161788,106.6389217,8.24606908,106.5074135,25.28612212,66.77747415,16.75969357,8.39607618,2.29927865,4.433312349,34.94146371,0.057231245,24.74878398,0.037435868,7.224813445,2.677629688,5.481723933,3.486985502,10.69172932,68.49724265,0.593080725,2.521406873,6.381723505,0.252798878,0.639838243,42.84436159,129,5,38,116
63.12,0.81,16.14,4.9879,3.7,2.46,0.0829,3.7047,4.0621,0.25,56.98,109.7,9.42,38.67,6.51,1.7,5.4,0.650405985,3.28,0.573074894,1.548258027,0.22,1.41,0.23,811.6353112,14.91,94.09052806,1403.612,5.084943383,9.573308949,0.714538885,12.26702389,1.4,21.26737807,198,10.26708965,100.42038,21.9578328,35.08787676,7.7668,3.821596244,0.642073035,136.7098221,6.789580815,54.43563455,27.45243439,77.80141844,13.27967807,8.752688172,2.326241135,4.617021277,30.41474654,0.1159271,27.42553191,0.045231575,7.357478203,2.593561368,8.700016943,3.829787234,13.97736197,93.68878166,0.822738021,2.138661836,3.417509533,0.218659129,0.349409918,50.83584212,129,5,38,116
59.62,0.8543,18.61,5.8224,4.6901,1.82,0.0847,3.1187,4.33,0.34,44.03174059,81.6,8.975259615,33.01300596,5.302044878,1.41,3.679215229,0.478282275,2.57,0.43,1.16,0.158033234,0.94,0.156703453,1364,10,70.46113097,1759.553539,4.8,14,0.929611668,7,1.650952557,17.01026143,191.3602116,8.471556778,64,12.27329017,19.85560544,7.4487,4.403174059,1.4,207.7013216,14.89361702,136.4,31.82112503,86.80851064,19.13602116,8.304671425,2.734042553,5.640473274,36.09177516,0.051657721,35.12021911,0.032646553,8.16,3.301300596,7.446808511,3.914058754,27.49302405,87.94214876,0.7,1.448764435,2.343796537,0.191770159,0.310243835,48.803145,129,5,38,116
64.19,0.65,15.9587,5.21,4.03,2.42,0.08,3.5041,3.7731,0.2,35.41666081,67.82134922,7.53,29.8,4.75,1.19,4.107866549,0.53,2.6,0.459619241,1.21,0.153719939,0.91,0.14,727,12.52800261,102,1145,3.852294136,13,1,17,3.939730087,14,150,10.27875458,89,41.72726613,92.1209305,7.2772,2.826999795,1.03767539,111.3948184,14.28571429,58.03000068,26.43892238,74.52895519,11.97317758,7.456139118,2.857142857,5.21978022,31.57894737,0.140302613,32.74725275,0.036341981,5.413580387,2.37867128,18.68131868,4.514139065,12.86516854,90.965,1.356960126,4.059564396,8.962265786,0.468845687,1.035066635,51.90680804,129,5,38,116
