SiO2,TiO2,Al2O3,FeOt,MnO,MgO,CaO,Na2O,K2O,P2O5,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Sr,Y,Rb,Ba,Hf,Nb,Ta,Th,U,Pb,Zr,Sc,V,Ni,Cr,A,La/Y,Nb/Y,Ba/Sc,Nb/Yb,Sr/Y,(La/Yb)/n,Ce/Yb,Zr/Y,La/Sm,Dy/Yb,Sm/Yb,Zr/Sm,Rb/Sr,Nd/Yb,Lu/Hf,Ce/Y,Nd/Y,Th/Yb,Gd/Yb,Ba/V,A/CaO,Th/Y,Ni/Sc,Cr/Sc,Ni/V,Cr/V,Predicted_Crustal_Thickness,Age,Age error,Lat,Lon
58.05,1.3136,15.55,7.39,5.0331,3.1266,0.1,3.7,3.8666,0.73,102.7,195.6,20.71,75.35285099,12.01264718,2.776303167,8.02,1.057767988,5.465082727,0.960670585,2.54,0.37,2.050239345,0.29,1077,26.30851283,96.60885506,1841.518016,9.25298,21.89,1.04,10.08688759,1.806250559,20.02338636,376,13.92505105,128,45.62778691,82.51959005,7.5666,3.903679416,0.832050072,132.2449741,10.67680222,40.93731968,34.02854737,95.40349544,14.2919519,8.549322931,2.665582797,5.859143816,31.30034491,0.089701815,36.75319722,0.031341254,7.43485583,2.864200325,4.919858559,3.911738412,14.3868595,75.666,0.383407745,3.276669274,5.925981151,0.356467085,0.644684297,48.56205134,130,2,31.5,116
67.3806,0.668,15.57,3.5812,1.4867,0.6266,0.07,4.32,3.97,0.1967,103.8,197.8,21.70590764,75.83124498,12.37,1.805846217,7.76,1.09,5.46,1.02,2.702702766,0.392497724,2.402884131,0.363619394,1055,26.98,115.7,2012.37866,9.760613172,22.13,1.07,11.61,1.952753883,23.2998583,413.2275037,6.375549371,33.25054982,5.909159268,7.467177923,8.29,3.847294292,0.820237213,315.6400402,9.209765762,39.10303929,29.34553653,82.31774368,15.31606759,8.3912692,2.272269366,5.147980229,33.40561873,0.109668246,31.55842764,0.037253745,7.33135656,2.810646589,4.831693651,3.229452432,60.52166568,118.4285714,0.430318755,0.926847072,1.171221096,0.177716137,0.224573066,37.93752109,130,2,31.5,116
54.5428,1.36,16.4235,7.39,4.37,4.63,0.1345,3.97,3.8081,0.75,94.07,183.1,19.22,71.32,11.56,2.829034202,7.49,1.028771945,5.09,0.881827223,2.35,0.32,2.09,0.300649227,920,23.79633543,97.4,2227,8.15275012,20.51,0.94,10.73,1.916027115,23.62061088,346,15.3437524,121,35.4,90.2,7.7781,3.953129686,0.861897415,145.1405068,9.813397129,38.66141502,30.57612097,87.6076555,14.54005391,8.137543253,2.435406699,5.531100478,29.93079585,0.105869565,34.12440191,0.036877032,7.694462054,2.99710013,5.133971292,3.583732057,18.40495868,57.82973978,0.450909764,2.307127949,5.878614152,0.292561983,0.745454545,50.64966985,130,2,31.5,116
54.58,1.37,15.3,8.0546,7.1,6.41,0.1386,3.86,3.13,0.57,34,66.81321272,7.45,29.79037284,5.96,1.79,5.245177588,0.778347452,4.364510105,0.88,2.25,0.348107966,2.26,0.335830429,575,21.91925113,104.4276957,1065.420532,5.068385153,13.46,0.765554481,7.7514251,0.93,15.55,205.1496112,16.7,105,77.33306909,216.3366009,6.99,1.551147884,0.614072074,63.79763665,5.955752212,26.23264803,10.21993204,29.56336846,9.35933486,5.704697987,1.931199162,2.637168142,34.4210757,0.181613384,13.1815809,0.066259848,3.048152162,1.359096288,3.429834115,2.320875039,10.14686221,50.43290043,0.353635489,4.6307227,12.95428748,0.73650542,2.06034858,41.03048299,129.6,2,31,116.4
52.91,1.42,15.8618,9.1856,7.81,6.85,0.15,2.4114,3.4174,0.95,48.19626275,107,12.3,53.02,9.892413884,2.671661278,7.82,1.165376724,5.74,1.106019752,3.066572174,0.433917651,2.79,0.404141298,810.4266938,27.7,80.49563205,817.3974613,8.41,14.89,0.75,7.025654689,1.602459454,12.98,344.5372614,21.73049076,181.8605151,76.5,196,5.8288,1.739937283,0.537545126,37.61523246,5.336917563,29.25728136,11.73509717,38.35125448,12.43816828,4.87204269,2.05734767,3.545668059,34.82843171,0.099325001,19.00358423,0.048054851,3.862815884,1.914079422,2.518155803,2.802867384,4.494639537,38.85866667,0.253633743,3.520399095,9.019584609,0.420652058,1.077749064,36.91990976,129.6,2,31.03,116.62
66,0.6342,14.53,3.82,3.56,3.22,0.0667,3.88,3.8926,0.2921,50.20554551,88.21,9.85,32.53,5.39,1.47,3.77,0.51,2.52,0.48,1.26,0.18,1.12,0.172057949,813,13.35566806,83.7,1737,6.1,11.43972727,0.9,14.28254646,3.07,29.3,166,8.71,75.2,73,168.0234588,7.7726,3.759118996,0.856544743,199.4259472,10.21404221,60.87303131,30.45167581,78.75892857,12.42917982,9.314572451,2.25,4.8125,30.79777365,0.10295203,29.04464286,0.028206221,6.60468646,2.435669998,12.75227363,3.366071429,23.09840426,116.5307346,1.069399628,8.381171068,19.29086783,0.970744681,2.234354505,56.79897457,131.8,1,30.13,115.55
70.37,0.47,13.7,3.0291,2.3467,1.9094,0.05,4.1317,3.25,0.22,39.45859618,72.6,8.07,25.47,4.14,1.1,2.74,0.36,1.669450649,0.288121964,0.803977571,0.11,0.605202141,0.122727465,793,7.65,157.4275725,1164,4.289465494,12.09670421,1.251605333,34.4,4.82,26.57590858,159,7.5,59.41511845,31.7317612,111,7.3817,5.157986429,1.581268524,155.2,19.98787412,103.6601307,44.29132826,119.9599193,20.78431373,9.531061879,2.758500897,6.840689613,38.4057971,0.198521529,42.08511219,0.028611365,9.490196078,3.329411765,56.84051273,4.527412933,19.59097331,147.634,4.496732026,4.230901493,14.8,0.534068803,1.868211373,64.64151091,131.8,1,30.13,115.55
58.91,0.7538,15.7147,8.19,5.3879,5.94,0.14,2.2787,1.37,0.2151,36.18,64.56615179,7.153413907,25.58,4.24484766,0.84,3.39,0.438790279,2.208549692,0.4,0.968185274,0.14,0.91,0.149642562,464,9.47,90.2532429,696.7485446,3.705562825,10,0.23,11.8,2.07,23.11008834,147.1731419,18.3,130.6966144,163,464.0974125,3.6487,3.820485744,1.055966209,38.07369096,10.98901099,48.9968321,27.00876339,70.95181515,15.54098647,8.523274072,2.426977684,4.664667758,34.67100676,0.194511299,28.10989011,0.040383221,6.817967454,2.701161563,12.96703297,3.725274725,5.33103744,26.06214286,1.246040127,8.907103825,25.36051434,1.24716314,3.550952063,50.47184742,131.8,1,30.13,115.55
61.99,0.84,17.1426,5.2457,3.6994,2.2106,0.0855,3.5885,4.1053,0.2914,34.83,67.66772667,7.856412805,30.6,5.044915736,1.22,3.6,0.52,2.21710144,0.365371176,0.918248633,0.14,1.018137098,0.176481965,730.4345826,10.04919788,115,760,5.151320254,13.2,0.93,11.82929883,2.79,28.8,204,11.98808025,120,21.55977489,48.61781476,7.6938,3.465948269,1.313537673,63.39630568,12.96485515,72.68585924,23.23939096,66.46229354,20.30012768,6.903980527,2.177605987,4.955045589,40.43675072,0.157440519,30.05489149,0.03425956,6.733644563,3.045019151,11.61857166,3.535869587,6.333333333,89.98596491,1.177138611,1.798434315,4.055512955,0.179664791,0.405148456,56.13619827,131.8,1,30.13,115.55
66.11,0.64,14.12,4.52,3.5914,3.55,0.0604,3.123,3.14,0.31,46.12,78.99890184,8.59,28.46,4.547746306,1.21,3.446890269,0.421256651,2.03,0.35,0.913361286,0.11,0.64,0.1,890.9920396,7.62,76.47309246,1290.670373,6.2,9.644064622,0.65,9.972815841,1.808366971,26.6,213.863506,10.23143996,85.12057935,80.8,194,6.263,6.052493438,1.265625278,126.1474805,15.06885097,116.9280892,48.95385021,123.4357841,28.0660769,10.14128689,3.171875,7.105853603,47.02626128,0.085829153,44.46875,0.016129032,10.36730995,3.734908136,15.58252475,5.385766045,15.16284761,103.692053,1.308768483,7.897226619,18.96116292,0.94924166,2.279119826,54.35082341,132,2,30.13,115.55
55.9308,1.2491,15.5404,7.57,6.51,5.22,0.12,2.8233,3.9457,0.73,61.04,113.7,13.49,50.9,8.5,2.114741611,5.647358877,0.685853332,3.236280661,0.59741847,1.429192201,0.19046935,1.17,0.177622734,937,14.43,64.47792603,1186.569105,4.484743771,12,0.5,6.233727034,0.95,25.3,192.973783,14.53078699,159,98.5,229,6.769,4.23007623,0.831600832,81.65897042,10.25641026,64.93416493,35.44101843,97.17948718,13.37309653,7.181176471,2.766051847,7.264957265,22.702798,0.068813155,43.5042735,0.039605994,7.879417879,3.527373527,5.327971824,4.826802459,7.462698774,56.40833333,0.431997715,6.778710614,15.75964194,0.619496855,1.440251572,49.75891533,132,2,30.13,115.55
65.62,0.6448,14.7765,4.1544,3.5261,3.43,0.06,3.57,3.68,0.32,71.84,132.567435,12.7,39.79,6.204826632,1.446155498,3.8,0.508646357,2.6,0.43,0.95,0.13,0.762176658,0.11,982.4174366,9.8537,79.3,2554.622,6.6,10.4,1.01,21.5,3.23,22.92566558,213.1779994,10.3,87.6,84.4,171,7.25,7.290662391,1.055441103,248.0215534,13.64513055,99.70035993,64.03069408,173.9326882,21.63430989,11.57808336,3.411282637,8.140929753,34.3568019,0.080719251,52.20574467,0.016666667,13.45356922,4.038077067,28.20868335,4.985720778,29.1623516,120.8333333,2.181921512,8.194174757,16.60194175,0.96347032,1.952054795,55.81658609,132,2,30.13,115.55
57.8448,0.85,14.91,5.69,5.44,5.1053,0.09,2.89,3.9642,0.4825,52.02,94.4,10.27020244,40.03,6.15,1.82782257,3.92,0.534725104,2.54,0.44,0.979652511,0.12,0.63,0.133774486,1259,8.51,71,1495,7.4,7.6,0.44,6.965077659,0.83,17.00992227,182,11.38722031,112.4951606,126,246,6.8542,6.112808461,0.89306698,131.2875275,12.06349206,147.9435958,56.092827,149.8412698,21.386604,8.458536585,4.031746032,9.761904762,29.59349593,0.056393963,63.53968254,0.018077633,11.09283196,4.703877791,11.05567882,6.222222222,13.28946056,76.15777778,0.818458009,11.06503577,21.60316507,1.120048181,2.186760734,49.18278644,132,2,30.13,115.55
57.9693,0.85,15.1536,6.25,5.8112,5.25,0.1,2.7421,3.9421,0.4264,45.66,91.8296352,9.990320932,39.6,6.230951471,1.72,4.641535796,0.562406382,2.938996731,0.54,1.28,0.180080152,1.08,0.15,1119,11.96,62.5378475,1103,7.2,9.6,0.621340655,4.9,1.44,16.58324256,175,13.8154972,130,126,303,6.6842,3.817725753,0.802675585,79.83787945,8.888888889,93.56187291,28.72034693,85.02744,14.63210702,7.327933818,2.721293269,5.76939951,28.08559829,0.055887263,36.66666667,0.020833333,7.678063144,3.311036789,4.537037037,4.29771833,8.484615385,66.842,0.409698997,9.120192938,21.93189254,0.969230769,2.330769231,45.68042524,132,2,30.13,115.55
63.7669,0.71,14.36,4.4511,4.23,3.55,0.074,3.3598,3.1,0.31,59.19,108.4513923,11.79,42.89993128,7.175986612,1.81,4.37,0.61,3.054255362,0.56,1.31,0.180777567,1.1,0.16,956.8622492,11.96,93.35965582,1947.86107,6.8,12.80572227,1.12,19.2,3.72348849,22.15271123,172,11.6,98.17720365,87.3,167,6.4598,4.948996656,1.070712564,167.9190578,11.6415657,80.00520478,36.55385501,98.59217482,14.3812709,8.248343148,2.776595784,6.523624193,23.96882956,0.097568543,38.99993753,0.023529412,9.067842166,3.586950776,17.45454545,3.972727273,19.8402582,87.29459459,1.605351171,7.525862069,14.39655172,0.889208459,1.701005873,55.89768401,132,2,30.13,115.55
